AceleracionX,AceleracionY,AceleracionZ,Coor1,Coor2
-0.04650879,0.0246582,1.003906,None,None
-0.04650879,0.02124023,1.007324,None,None
-0.04748535,0.02429199,1.007813,None,None
-0.046875,0.02124023,1.010132,None,None
-0.04626465,0.02319336,1.007324,None,None
-0.04553223,0.02233887,1.005371,None,None
-0.04638672,0.02270508,1.002197,None,None
-0.04406738,0.02563477,1.006348,None,None
-0.04675293,0.02282715,1.001465,None,None
-0.04638672,0.02453613,1.004761,None,None
-0.04516602,0.02099609,1.007813,None,None
-0.04614258,0.02490234,1.004883,None,None
-0.04724121,0.0255127,1.009888,None,None
-0.04516602,0.02258301,1.004761,None,None
-0.04382324,0.01867676,1.005981,None,None
-0.04748535,0.02355957,1.00293,None,None
-0.04724121,0.02282715,1.004272,None,None
-0.04541016,0.0213623,1.009277,None,None
-0.0480957,0.02490234,1.007446,None,None
-0.04504395,0.02319336,1.005127,None,None
-0.04663086,0.02392578,1.004028,None,None
-0.04821777,0.02185059,1.008301,None,None
-0.04333496,0.0234375,1.004517,None,None
-0.046875,0.02612305,1.006592,None,None
-0.04516602,0.02258301,1.006226,None,None
-0.0456543,0.02172852,1.008057,None,None
-0.04882813,0.02514648,1.004761,None,None
-0.04528809,0.02209473,1.008667,None,None
-0.04333496,0.02453613,1.01062,None,None
-0.04760742,0.02111816,1.00769,None,None
-0.04602051,0.02526855,1.007813,None,None
-0.04980469,0.02368164,1.010254,None,None
-0.04748535,0.02490234,1.006836,None,None
-0.04626465,0.02258301,1.001709,None,None
-0.0447998,0.02075195,1.00415,None,None
-0.04626465,0.02319336,1.005127,None,None
-0.04577637,0.02355957,1.007568,None,None
-0.04699707,0.02185059,1.008545,None,None
-0.04675293,0.02478027,1.00293,None,None
-0.04626465,0.02270508,1.00415,None,None
-0.04541016,0.02392578,1.007324,None,None
-0.04724121,0.02075195,1.003662,None,None
-0.04577637,0.02392578,1.007813,None,None
-0.04528809,0.02258301,1.008667,None,None
-0.04589844,0.02294922,1.008545,None,None
-0.04626465,0.02331543,1.006592,None,None
-0.04333496,0.0234375,1.007568,None,None
-0.0480957,0.02404785,1.004028,None,None
-0.046875,0.02404785,1.006104,None,None
-0.04699707,0.02209473,1.005249,None,None
-0.04760742,0.02368164,1.001221,None,None
-0.0435791,0.02172852,1.006226,None,None
-0.04675293,0.0267334,1.004761,None,None
-0.04638672,0.01953125,1.012207,None,None
-0.04614258,0.02282715,1.005859,None,None
-0.0456543,0.02160645,1.003418,None,None
-0.04455566,0.02514648,1.007813,None,None
-0.04699707,0.0213623,1.008667,None,None
-0.01757813,-0.0201416,1.022095,None,None
-0.06628418,0.1385498,1.012939,None,None
-0.2208252,-0.07543945,0.9682617,None,None
-0.07519531,0.201416,1.0354,None,None
-0.1811523,-0.07531738,1.066895,None,None
-0.09521484,0.2868652,0.9719238,None,None
-0.1833496,0.09240723,0.9742432,None,None
-0.1818848,-0.09436035,0.9306641,None,None
-0.0411377,0.1151123,0.9599609,None,None
-0.01977539,0.1037598,0.9555664,None,None
-0.1220703,0.06140137,0.8912354,None,None
-0.1287842,0.1174316,0.9949951,None,None
-0.1166992,0.2384033,0.9890137,None,None
-0.163208,0.1085205,0.9591064,None,None
-0.1405029,0.06811523,0.9674072,None,None
-0.1195068,0.09094238,0.9852295,None,None
-0.09228516,0.1472168,1.022583,None,None
-0.1209717,0.09082031,1.027832,None,None
-0.1398926,0.04174805,0.9766846,None,None
-0.1740723,0.119751,0.9929199,None,None
-0.1209717,0.1348877,1.008545,None,None
-0.1650391,0.06420898,0.9937744,None,None
-0.1177979,0.1398926,0.9483643,None,None
-0.1339111,0.2479248,0.970459,None,None
-0.1341553,0.05639648,1.006592,None,None
-0.210083,0.09899902,0.8907471,None,None
-0.1188965,0.1191406,1.050781,None,None
-0.09423828,0.03540039,1.038696,None,None
-0.2086182,0.1739502,1.025757,None,None
-0.06542969,0.02416992,1.031982,None,None
-0.2498779,-0.01184082,0.9807129,None,None
-0.04296875,0.07897949,1.008789,None,None
-0.1719971,0.1031494,0.9776611,None,None
0.05957031,-0.1383057,0.9089355,None,None
-0.09436035,0.0480957,1.096313,None,None
-0.05944824,-0.05395508,0.9468994,None,None
-0.2215576,0.0958252,0.9368896,None,None
-0.2375488,-0.0078125,1.009888,None,None
-0.07324219,-0.04431152,0.8303223,None,None
-0.2722168,-0.06469727,0.9431152,None,None
-0.2225342,-0.1966553,0.9342041,None,None
-0.04321289,-0.1791992,0.864624,None,None
